FUND,freq,MISC,freq.1,UNI,freq.2,COR,freq.3,IND,freq.4
H2020 Program,1,,,,,,,,
Scientific and Technological Projects of Guangdong Province,1,,,,,,,,
Beijing Environment Foundation for Young Talents,1,,,,,,,,
LR7,1,,,,,,,,
Criminal Rule of Law in Internet Security,1,,,,,,,,
Beijing Natural Science Foundation Project,1,,,,,,,,
"Jacques Hadamard Mathematical Foundation, Paris, France",1,,,,,,,,
"Shanghai Sailing Program, China",1,,,,,,,,
European Research Council Starting Independent Research Grant,1,,,,,,,,
"European Community's Seventh Framework Programme FP7/2007-2013, Challenge 2 Cognitive Systems, Interaction, Robotics",1,,,,,,,,
Sandia's Laboratory Directed Research and Development (LDRD) program,1,,,,,,,,
European Union's Horizon 2020 Research and Innovation programme (ERC Consolidator Grant DISTRUCT,1,,,,,,,,
Spanish administration,1,,,,,,,,
European Union's HORIZON 2020 Framework Programme,1,,,,,,,,
Federal German Ministry for Education and Research,1,,,,,,,,
Office of Naval,1,,,,,,,,
project CICYT HARCRICS,1,,,,,,,,
Opening Topic of the Key Laboratory of Embedded Systems and Service Computing of Ministry of Education,1,,,,,,,,
"DGIST R&D Program of the Ministry of Education, Science and Technology of Korea",1,,,,,,,,
The Netherlands Gravitation Programme NETWORKS,1,,,,,,,,
Provincial Natural Science Research Program of the Higher Education Institutions of Anhui Province,1,,,,,,,,
Ramon Y Cajal,1,,,,,,,,
Man-Made Disaster Prevention Research Center,1,,,,,,,,
Developing Digital Dentistry System,1,,,,,,,,
Korean Government Scholarship Program (KGSP),1,,,,,,,,
"IUSE/Professional Formation of Engineers, Revolutionizing Engineering Departments (RED)",1,,,,,,,,
European Union and Region Normandy,1,,,,,,,,
Open Project Program of the State Key Laboratory of Information Security,1,,,,,,,,
"Ministry of Science and Techonology, Taiwan, Republic of China",1,,,,,,,,
EU FP7 projects INDICATE,1,,,,,,,,
National Instrument Development Special Program,1,,,,,,,,
Jiangsu Province Science and Technology Support Program-Industry Part,1,,,,,,,,
H2020-ICT-2014 project 5GEx,1,,,,,,,,
Cultura i Universitats (Govern de les Illes Balears),1,,,,,,,,
Progetto MIUR,1,,,,,,,,
European Community's FP7 programme,1,,,,,,,,
Shenzhen Overseas High Level Talent Innovation and Entrepreneurship Special Funds,1,,,,,,,,
Office of Naval Research under Naval Sea Systems Command,1,,,,,,,,
CAPES - Von Humboldt Foundations Process,1,,,,,,,,
Technological Innovation and Application Demonstration of Chongqing,1,,,,,,,,
Defense Advanced Research Projects Agencys Autonomous Robotic Manipulation Software Track (ARM-S) program,1,,,,,,,,
Hunan Provincial Natural Science Fund Project,1,,,,,,,,
German Research Foundation(DFG),1,,,,,,,,
Tianjin Nature Science Foundation,1,,,,,,,,
INRIA equipe associee Princess,1,,,,,,,,
Japan Society for the Promotion of Science KAKENHI Grant-in-Aid for Challenging Exploratory Research,1,,,,,,,,
Predicting Climate Change Impacts on Shallow landslide risks,1,,,,,,,,
Korea Government (MSIP) (Development of Device Collaborative Giga-Level Smart Cloudlet Technology),1,,,,,,,,
Special Project on High-performance Computing,1,,,,,,,,
FQ4BD Project,1,,,,,,,,
SNU Brain Korea 21 Plus Information Technology program,1,,,,,,,,
fund of Chongqing Key Laboratory (CSTC),1,,,,,,,,
Researcher FCT Program,1,,,,,,,,
Veterans Health Administration (SimLEARN),1,,,,,,,,
Center of Excellence EXC 277,1,,,,,,,,
National Science Foundation (NSF) Award CCF,1,,,,,,,,
Schloss Dagstuhl,1,,,,,,,,
Yorkshire Innovation Fund,1,,,,,,,,
"Top Talents Project of Hebei Province, China",1,,,,,,,,
National Institutes of Health National Center for Advancing Translational Sciences (NCATS),1,,,,,,,,
NUAA Research Funding,1,,,,,,,,
"Max-Planck Institut fur Mathematik, Bonn",1,,,,,,,,
"Torres Quevedo"" Program of the Spanish Ministry of Economy, Industry and Competitiveness",1,,,,,,,,
Natural Science Foundation of Shaanxi province,1,,,,,,,,
Zhejiang Province Science and Technology Planning Project,1,,,,,,,,
DFG Special Priority Program 1324,1,,,,,,,,
European Social Fund (EC-ESF),1,,,,,,,,
AFOSR FA95501410022,1,,,,,,,,
Fundamental Research Funds for the Central Universities ZYGX2013J105,1,,,,,,,,
French FUIs Dynamit,1,,,,,,,,
Moroccan Ministry of Higher Education and Scientific Research (PPR Program),1,,,,,,,,
"national economy and social information of Shandong, China",1,,,,,,,,
Sichuan Science and Technology Agency,1,,,,,,,,
National Natural Science Foundation of Zhejiang province,1,,,,,,,,
Generalitat de Catalunya 2009-SGR-1434,1,,,,,,,,
ERC Synergy Grant BlackHoleCam,1,,,,,,,,
Engineer Research and Development Center,1,,,,,,,,
GRF of Hong Kong,1,,,,,,,,
"ARPA-e, NYSERDA",1,,,,,,,,
ESF Resaearch Networking Programme GAMES,1,,,,,,,,
South African National Research Foundation Incentive Grant,1,,,,,,,,
Postgraduate Innovation Project of Hebei Province,1,,,,,,,,
Foundation of National Defence,1,,,,,,,,
Scientific Grant Agency of Slovak Republic (VEGA),1,,,,,,,,
Centro de Matematica da Universidade de Coimbra,1,,,,,,,,
2018 National Natural Science Foundation of China,1,,,,,,,,
Ministry of Oceans and Fisheries of Korea,1,,,,,,,,
NEDO,1,,,,,,,,
"Julich Aachen Research Alliance, High-Performance Computing (JARA-HPC), Germany",1,,,,,,,,
PROSEED,1,,,,,,,,
International Science and Technology Cooperation and Exchange Program of Sichuan Province,1,,,,,,,,
Zhejiang Provincial Natural Science Foundation for Distinguished Young Scholars,1,,,,,,,,
Ministry of Education (MOE) in Saudi Arabia,1,,,,,,,,
NCSU,1,,,,,,,,
Army Research Office Grant,1,,,,,,,,
HGS MathComp,1,,,,,,,,
Intel Parallel Computing Center (IPCC),1,,,,,,,,
National Scholarship for Building High Level Universities,1,,,,,,,,
"Ministry of Economy and Finance, Cipe resolution",1,,,,,,,,
ARCADIA,1,,,,,,,,
"Scientific and Technical Research Council of Turkey (TUBITAK, 2219-International Postdoctoral Research Scholarship Program)",1,,,,,,,,
Natural Science Foundation of China Grant Nos,1,,,,,,,,
Excellent Young Teachers Program,1,,,,,,,,
Qinglan Project of Jiangsu Province,1,,,,,,,,
CONICYT/FONDECYT/REGULAR/1140897,1,,,,,,,,
"Project SMART (Secure, Mobile Visual Sensor Networks Architecture",1,,,,,,,,
Foundation of Jilin Provincial Science & Technology Department,1,,,,,,,,
Paderbom Center for Parallel Computing,1,,,,,,,,
National Science Fund Committee (NSFC) of China,1,,,,,,,,
Shenzhen Research Funds,1,,,,,,,,
Webdam,1,,,,,,,,
AcRF Tier-1 Grant,1,,,,,,,,
"National Technical Research Organization (NTRO), New Delhi, India",1,,,,,,,,
Noujaim Fund for Strategic Initiatives,1,,,,,,,,
FinnishFunding Agency for Technology and Innovation),1,,,,,,,,
Ministry of Science and Education,1,,,,,,,,
"Ministry of Research, Technology, and Higher Education (MoRTHE), the Republic of Indonesia",1,,,,,,,,
"Shared Interoperable Home Ecosystems for a Green, ComfortabLe and Safe Living",1,,,,,,,,
National Science and Technology support program of China,1,,,,,,,,
Swiss Government Excellence Scholarship,1,,,,,,,,
Dutch government FES,1,,,,,,,,
iPlant Collaborative,1,,,,,,,,
"Centre for Research, Innovation and Discovery (CUCRID)",1,,,,,,,,
Italian Society for Research on Amyotrophic Lateral Sclerosis,1,,,,,,,,
JSPS Grant-in-Aid for Challenging Exploratory Research,1,,,,,,,,
Office of Naval Research Global (ONRG),1,,,,,,,,
Basic Science Research Program and Next-Generation Information Computing Development Program,1,,,,,,,,
NSF-Henan,1,,,,,,,,
National Natural Science Foundation of China Research,1,,,,,,,,
European Social Funds (COSMOS research group,1,,,,,,,,
2010THZ03-Key Technologies of Sky-Earth Integration Wireless Communication Network,1,,,,,,,,
"Development of Interactive and Realistic Massive Giga-Content Technology) of the Ministry of Science, ICT",1,,,,,,,,
Capes/SDH/MCTI,1,,,,,,,,
Shaanxi Natural Science Foundation Research Project,1,,,,,,,,
"Federal Agency of Scientific Organizations, Russia",1,,,,,,,,
National key technologies Research 82 Development program,1,,,,,,,,
University Science and Technology Planning Project of Shandong Provincial Education Department,1,,,,,,,,
Sweden's innovation agency VINNOVA,1,,,,,,,,
Department of Ocean Operations and Civil Engineering,1,,,,,,,,
FONDECYT 1120879,1,,,,,,,,
Key Project of Chinese Academy of Sciences,1,,,,,,,,
Directorate General for Research of the Government of Catalonia,1,,,,,,,,
"European Research Council, Advanced Grant PATCH",1,,,,,,,,
Shandong Provincial Natural Science Foundation Grants,1,,,,,,,,
Moore Sloan Foundation,1,,,,,,,,
Jiaxing National Science Foundation,1,,,,,,,,
Postdoctoral Science Foundation Project of Heilongjiang Province of China,1,,,,,,,,
Guangdong Science and Technology Plan Projects,1,,,,,,,,
NUHS,1,,,,,,,,
Iranian Nanotechnology initiative (INI),1,,,,,,,,
Bosch Research Foundation,1,,,,,,,,
Science and Technology Research Projects of the Department of Education of Liaoning Province,1,,,,,,,,
Research and Development of Low Power Universal Processor Platform for C-RAN,1,,,,,,,,
European Institute of Innovation and Technology (EIT ICT Labs Project,1,,,,,,,,
"National ICT R and D Fund, Ministry of IT, Government of Pakistan",1,,,,,,,,
Center for Extended Magnetohydrodynamic Modeling),1,,,,,,,,
Foundation of Innovative Algorithms for Big Data and JSPS/MEXT Grant-in-Aid for Scientific Research Grant,1,,,,,,,,
DFG project DIAMOND,1,,,,,,,,
Portugal Telecom Inovacao,1,,,,,,,,
DARPA XData,1,,,,,,,,
FP7-People,1,,,,,,,,
Ghana Strategy Support Program (GSSP),1,,,,,,,,
Tunisian Ministry of Higher Education & Scientific Research,1,,,,,,,,
"Australian Research Council, Ministry of Science and Technology (MOST), Taiwan",1,,,,,,,,
U.S. ARO MURI,1,,,,,,,,
China Social Science University Humanity Foundation,1,,,,,,,,
Reading for Understanding Network,1,,,,,,,,
IDEPA,1,,,,,,,,
ANCSI,1,,,,,,,,
Ministry of Science and Technology Taiwan,1,,,,,,,,
CONICYT project Anillo ACT1118 (ANANUM),1,,,,,,,,
G-COE Cybernics Program,1,,,,,,,,
Natural Science Funding of Guangdong Province,1,,,,,,,,
"Used Fuel Disposition Campaign, Office of Nuclear Energy of the U.S. Department of Energy",1,,,,,,,,
"Estonian Centre of Excellence in Computer Science, EXCS",1,,,,,,,,
Project for Scientific Plan of Higher Education in Shandong Province of PR China,1,,,,,,,,
Ministry of Transportation of China,1,,,,,,,,
EU FP7 QUICK,1,,,,,,,,
Singapore Tourism Board,1,,,,,,,,
H2020 EU Framework Programme,1,,,,,,,,
US Army Medical Research and Materiel Command,1,,,,,,,,
Joint Laboratory of Flight Vehicle Ocean-based Measurement and Control,1,,,,,,,,
"Ministry of Education, P.R.China",1,,,,,,,,
Zhejiang Provincial Technology Plan of China,1,,,,,,,,
Scholarship Council of Fujian Province (Fujian Education Cooperation,1,,,,,,,,
National Project of Educational Science Planning,1,,,,,,,,
Henan Province University-industry Project,1,,,,,,,,
BIZKAILAB Initiative of the Provincial Council of Bizkaia,1,,,,,,,,
Science Fund,1,,,,,,,,
Natural Science Fund of China,1,,,,,,,,
"Private and Shared Gaze: Enablers, Applications, Experiences",1,,,,,,,,
Defence Innovative Research Programme (DIRP),1,,,,,,,,
Eglin Air Force Base,1,,,,,,,,
Indigenous Innovation's Capability Development Program,1,,,,,,,,
Program to Sponsor Teams for Innovation in the Construction of Talent Highlands in Guangxi Institutions of Higher Learning,1,,,,,,,,
Scania CV,1,,,,,,,,
NSERC DG 402369-2011,1,,,,,,,,
"National Institute of Information and Communication Technology, Japan",1,,,,,,,,
Intel-Cisco Video Aware Wireless Networks (VAWN) Program,1,,,,,,,,
Technological Research CONTINT program,1,,,,,,,,
BAE Systems,1,,,,,,,,
Spanish National Cybersecurity Institute (INCIBE),1,,,,,,,,
Korea government (MCST),1,,,,,,,,
"DST-SERB, Government of India (Young Scientists",1,,,,,,,,
Direction Generale de l'Armement (DGA),1,,,,,,,,
Pennsylvania Infrastructure Technology Alliance (PITA),1,,,,,,,,
CRMI-Oxford Technology Centre Studentship,1,,,,,,,,
FastRelax,1,,,,,,,,
Center for Collaborative Innovation in the Heritage and Development of Xizang Culture Project 21,1,,,,,,,,
Hong Kong Research Grant Council (RGC),1,,,,,,,,
AT&T Foundation,1,,,,,,,,
Central West CMA,1,,,,,,,,
Singapore Police Force,1,,,,,,,,
Networking and Telecommunications Research Group (GPRT),1,,,,,,,,
Ministry for Science and Technology (Republic of Serbia),1,,,,,,,,
STMicroelectronics,1,,,,,,,,
NWO Gravitation Program NETWORKS of the Dutch government,1,,,,,,,,
national social science fund in China,1,,,,,,,,
Postdoctoral Science Foundation of Shanxi Province,1,,,,,,,,
RGL Reservoir Management,1,,,,,,,,
QREN Mais Centro program,1,,,,,,,,
Ministerio de Econom,1,,,,,,,,
NPU I,1,,,,,,,,
NVIDIA GPU Donation Program,1,,,,,,,,
Talents Project of Jiangsu province,1,,,,,,,,
Agency for Business Competitiveness of the Government of Catalonia (ACCIO),1,,,,,,,,
Graduate Innovation Project of Shanxi Province,1,,,,,,,,
Korea government(MIST),1,,,,,,,,
Ecosystem Services for Poverty Alleviation (ESPA) programme,1,,,,,,,,
Harbin Talent Program for Distinguished Young Scholars,1,,,,,,,,
European Commision,1,,,,,,,,
IPI,1,,,,,,,,
GreenDataNet,1,,,,,,,,
"Qinglan Project in Jiangsu Province, China",1,,,,,,,,
ENGINE European Research Centre of Network Intelligence Innovation Enhancement,1,,,,,,,,
Dutch organization,1,,,,,,,,
Natural Sciences and Engineering Research Council of Canada (NSERC) Alexander Graham Bell Canada Graduate Scholarships-Doctoral (CGS D),1,,,,,,,,
Research and Development Work Programme of the Community of Madrid,1,,,,,,,,
Prior Developing Field for the Doctoral Program of Higher Education of China,1,,,,,,,,
Basque Government - ELKARTEK Programme,1,,,,,,,,
Open Project of Guangxi Colleges and Universities Key Laboratory of Complex System Optimization and Big Data Processing,1,,,,,,,,
Cooperative Research Centre for Water Sensitive Cities (CRC),1,,,,,,,,
HASI,1,,,,,,,,
Programme of Hi-end Foreign Experts,1,,,,,,,,
Ministry of Education Equipment Development Fund,1,,,,,,,,
Romanian National Authority for Scientific Research and Program for Research - Space Technology and Advanced Research - STAR,1,,,,,,,,
European Union's Horizon 2020 research and innovation programme under the Marie Skfodowska-Curie,1,,,,,,,,
Shanghai Youth Talent Development Program,1,,,,,,,,
FP7 Collaborative Project S-CASE,1,,,,,,,,
IT Research and Development Program of MOTIE/KEIT,1,,,,,,,,
Scientific Research Foundation of Sichuan Province,1,,,,,,,,
IC-Brazil Program,1,,,,,,,,
AMOS,1,,,,,,,,
Agency for Structural Funds of EU,1,,,,,,,,
General Directorate of Academic Personnel Affairs,1,,,,,,,,
Shandong Provincial Project of Exquisite course,1,,,,,,,,
Dutch Ministry of Defence,1,,,,,,,,
European Community's Seventh Framework Programme (Marie Curie International Research Staff Exchange Scheme,1,,,,,,,,
FP7 EU-HYDROBIONETS project,1,,,,,,,,
NPRP Project,1,,,,,,,,
Cluster of Excellence CoTeSyS (Cognition for Technical Systems),1,,,,,,,,
"VLSI Design Project, DIT, Goverment of West Bengal",1,,,,,,,,
Strategic Capability Research Centres Funding Initiative,1,,,,,,,,
National Social Science Fund Major Projects,1,,,,,,,,
Open Project Program of Guangdong Key Lab of Popular High Performance Computers,1,,,,,,,,
Spanish FPI,1,,,,,,,,
US National Institute on Aging,1,,,,,,,,
"Special Fund of Institute of Geophysics, China Earthquake Administration",1,,,,,,,,
U.S. Department of Energy's Office of Science,1,,,,,,,,
Swedish Foundation for the Social Sciences and Humanities),1,,,,,,,,
Iranian Telecommunication Research Centre (ITRC),1,,,,,,,,
"Interdisciplinary Centre for Security, Reliability and Trust",1,,,,,,,,
Universidad de Chile,1,,,,,,,,
National Board for Higher Mathematics,1,,,,,,,,
Dalian High-Level Talent innovation Program,1,,,,,,,,
Guangzhou Municipal Science and Technology Project,1,,,,,,,,
Google Europe Fellowship in Learning Theory,1,,,,,,,,
MCCps,1,,,,,,,,
American Educational Research Association,1,,,,,,,,
EU FP7 International Research Staff Exchange Scheme Mobile Cloud Project,1,,,,,,,,
EU FP7-KBBE-2011-5,1,,,,,,,,
"State Key Laboratory of Urban and Regional Ecology, China",1,,,,,,,,
"MOLIT(The Ministry of Land, Infrastructure and Transport), Korea",1,,,,,,,,
Sichuan Science-Technology Support Plan Program,1,,,,,,,,
National Science Foundation of China (NSF),1,,,,,,,,
Open Found of The Key Laboratory for Metallurgical Equipment and Control of Ministry of education,1,,,,,,,,
Post-Doctoral Science Foundation of Heilongjiang Province,1,,,,,,,,
"Foundation of Key Laboratory of System Control and Information Processing, Ministry of Education",1,,,,,,,,
Department of Higher Education,1,,,,,,,,
UKCP Consortium,1,,,,,,,,
Science and Technology on Communication Networks Laboratory,1,,,,,,,,
Science and Technology Project of the Education Department of Jiangxi Province of China,1,,,,,,,,
ROBIN,1,,,,,,,,
Research Felloewship,1,,,,,,,,
General Program of NNSFC,1,,,,,,,,
National Institute on Deafness and Other Communications Disorders (NIDCD),1,,,,,,,,
Lishui Major Research and Development,1,,,,,,,,
Franco-German ANR-DFG project DISCMAT,1,,,,,,,,
L-3 Communication,1,,,,,,,,
"Research Center for Information Technology Innovation, Academia Sinica, Taiwan, ROC",1,,,,,,,,
SINTEF,1,,,,,,,,
"Ministerio de Economia, Industria y Competitividad (MINECO)",1,,,,,,,,
Tianyuan Special Funds,1,,,,,,,,
Project of Science and Technology Department of Henan Province,1,,,,,,,,
NSAF Joint Fund,1,,,,,,,,
ENTRA: Whole-Systems Energy Transparency,1,,,,,,,,
Minerva Foundation,1,,,,,,,,
University With Potential for Excellence Program (UPE-II) in Cognitive Science,1,,,,,,,,
United States Agency for International Development Tanzania Mission,1,,,,,,,,
Anhui Provincial Department of Education Humanities and Social Science Foundation,1,,,,,,,,
Guangdong Natural Science Funds for DistinguishedYoung Scholar,1,,,,,,,,
Open project of Key Laboratory of modern acoustic of Ministry of Education,1,,,,,,,,
Priority Academic Programme Development of Jiangsu Higher Education Institutions,1,,,,,,,,
Hubei Provincial Education Department,1,,,,,,,,
Startup Research Fund for Ph.D of Liaoning Province,1,,,,,,,,
Centre for Doctoral Training in Cyber Security,1,,,,,,,,
German Research Foundation DFG within Priority Research Program 1894,1,,,,,,,,
EPSRC Fellowship in Manufacturing: Controlling Geometrical Variability of Products for Manufacturing,1,,,,,,,,
Grant-of-Excellence,1,,,,,,,,
Open Research Fund Program of the Shenzhen Key Laboratory of Spatial Smart Sensing and Services,1,,,,,,,,
"MEXT (Ministry of Education, Culture, Sports, Science and Technology of Japan)",1,,,,,,,,
CCF-Tencent Rhino-Bird Young Faculty Open Research Fund,1,,,,,,,,
Finnish Center of Excellence in Computational Inference Research COIN,1,,,,,,,,
Key R&D Program of Zhejiang Science and Technology Department,1,,,,,,,,
Slovak Grant Agency for Science,1,,,,,,,,
Open Foundation of Hubei Collaborative Innovation Center for High-Efficiency Utilization of Solar Energy,1,,,,,,,,
CICYT Project,1,,,,,,,,
HKRGC GRF Grant Nos,1,,,,,,,,
MiCInn,1,,,,,,,,
HPC ressources,1,,,,,,,,
Yichang Natural Science Research and Application Project,1,,,,,,,,
MEXT KAKENHI Grant Nos,1,,,,,,,,
Guangzhou Key Laboratory,1,,,,,,,,
Spanish project SKaTer,1,,,,,,,,
Shenzhen Scientific Research Fund,1,,,,,,,,
S&T Plan of Zhejiang Provincial Science and Technology Department,1,,,,,,,,
Managing Trust,1,,,,,,,,
Canadian Networks of Centres of Excellence (NCE),1,,,,,,,,
"Ministry of Trade, industry & Energy, Korea",1,,,,,,,,
CORE,1,,,,,,,,
Science and Technology Innovation Program of Hubei Province,1,,,,,,,,
Social Glue,1,,,,,,,,
"Iceland, Liechtenstein and Norway",1,,,,,,,,
Local Computer Networks,1,,,,,,,,
WorthPlay project,1,,,,,,,,
"Dutch ""Point One Program",1,,,,,,,,
Priority for the Postdoctoral Scientific and Technological Programs of Hubei Province,1,,,,,,,,
"CONICYT, Chile",1,,,,,,,,
7th FP,1,,,,,,,,
Middle-East Energy Research (MER),1,,,,,,,,
ImPACT (Tough Robotics Challenge),1,,,,,,,,
Merit Review Awards,1,,,,,,,,
French ANR project DISPLEXITY,1,,,,,,,,
"Regional Council of Nord-Pas de Calais, France",1,,,,,,,,
Zhejiang Province Science Foundation for Public Welfare,1,,,,,,,,
Gas Turbines,1,,,,,,,,
Ministry of Education in China Project of Humanity and Social Science,1,,,,,,,,
Guangdong NSF Grant,1,,,,,,,,
Center of Excellence,1,,,,,,,,
Digging Into Data Initiative,1,,,,,,,,
"National Key Laboratory of Science and Technology on Space Microwave, China",1,,,,,,,,
Marie-Curie Initial Training Network,1,,,,,,,,
Operational Program Education and Lifelong Learning of the National Strategic Reference Framework (NSRF) - Research Funding Program,1,,,,,,,,
ASPEN,1,,,,,,,,
Indiana METACyt Initiative,1,,,,,,,,
Johnson & Johnson WiSTEM2D Award,1,,,,,,,,
MEXT/JSPS KAKENHI 16H01705,1,,,,,,,,
South African Research Chairs Initiative,1,,,,,,,,
NSA Young Investigators Grant,1,,,,,,,,
Outstanding Young Scholar Program of National Natural Science Foundation of China,1,,,,,,,,
International Partnership Program of CAS,1,,,,,,,,
"Tanzania Ministry of Health Community Development, Gender, Elderly and Children",1,,,,,,,,
Open Foundation of Guizhou Provincial Key Laboratory of Public Big Data,1,,,,,,,,
National Key Research & Development Program,1,,,,,,,,
Ontario Innovation Trust (OIT),1,,,,,,,,
Innovation Project Program of the State Key Laboratory of Computer Architecture,1,,,,,,,,
"FCT/MEC, Portugal",1,,,,,,,,
European Union (COMPETE,1,,,,,,,,
Special Fund for Research,1,,,,,,,,
GIST,1,,,,,,,,
European Institute of Innovation and Technology,1,,,,,,,,
Junta de Andalucia of Spain,1,,,,,,,,
SIP/IPN,1,,,,,,,,
Partnership Grant,1,,,,,,,,
US ARMY,1,,,,,,,,
Fundacao para a Ciencia e Tecnologia (Portuguese Foundation for Science and Technology),1,,,,,,,,
Estonian IT Academy program,1,,,,,,,,
NSERC CRDPJ 424371-11,1,,,,,,,,
"US Department of Energy, Office of Science, Advanced Scientific Computing Research",1,,,,,,,,
Foundation of Key Laboratory of Autonomous Systems and Networked Control (Chinese Ministry of Education),1,,,,,,,,
Linkage Project,1,,,,,,,,
U.S. Election Assistance Commission (EAC),1,,,,,,,,
Tsinghua Selfinnovation Project,1,,,,,,,,
Companhia de Saneamento Basico do Estado de SAo Paulo (SABESP - Metropolitan Company of Basic Sanitation of the SAo Paulo State,1,,,,,,,,
KSRC (Korea Semiconductor Research Consortium),1,,,,,,,,
"Spanish Ministry of Science and Innovation, Spanish Government",1,,,,,,,,
Applied Foundation Research Program of China,1,,,,,,,,
External Cooperation Program of CAS,1,,,,,,,,
State Key Laboratory of Computer Architecture Foundation,1,,,,,,,,
Semantic Indexing of French biomedical Resources,1,,,,,,,,
"Council of Scientific and Industrial Research (CSIR), Government of India",1,,,,,,,,
Electronic Engineering Province Key Laboratory,1,,,,,,,,
"Motorika, Israel",1,,,,,,,,
US Department of Transportation Office of the Assistant Secretary for Research and Technology University Transportation Centers Program,1,,,,,,,,
National Science and Technology Major Projects of the Ministry Science and Technology of China,1,,,,,,,,
Integration Project,1,,,,,,,,
Early Career Development Award of the State Key Laboratory of Management and Control for Complex Systems (SKLMCCS),1,,,,,,,,
U.S. DHS VACCINE Center,1,,,,,,,,
Program for Scientific and Technological Innovation Team in Universities of Henan Province,1,,,,,,,,
Netherlands Enterprise Agency (RVO) for Innovation in Photonic Devices,1,,,,,,,,
Spanish National Project REM4VSS,1,,,,,,,,
H863 Project,1,,,,,,,,
Zhongshan City Team Project,1,,,,,,,,
"Consejeria de Innovacion, Ciencia y Empresa (Junta de Andalucia, Spain)",1,,,,,,,,
"Roshdy Barsoum, Naval Materials Division",1,,,,,,,,
Louisiana Space Consortium GSRA,1,,,,,,,,
Scientific Research Plan Projects of the Jiangxi Education Department,1,,,,,,,,
US Department of Energy under Cooperative Agreement,1,,,,,,,,
Key Base Project of Chongqing,1,,,,,,,,
National Education Science Twelfth Five-Year Plan Key Issues of the Ministry of Education,1,,,,,,,,
EU's H2020,1,,,,,,,,
Virtual Prototyping of Marine Systems and Operations (VARD,1,,,,,,,,
Hunan Provincial Science and Technology Project Foundation,1,,,,,,,,
HiPEAC4 Network of Excellence,1,,,,,,,,
IOF,1,,,,,,,,
Defense Industrial Technology Development Program of China,1,,,,,,,,
European Commission funds,1,,,,,,,,
Postdoctoral Research Grant of China,1,,,,,,,,
BlackBox,1,,,,,,,,
Department of science and technology of Guangdong Province,1,,,,,,,,
REPARTI,1,,,,,,,,
Hainan Provincial Natural Science Foundation of China,1,,,,,,,,
Ministry of Science and technology,1,,,,,,,,
EPSRC UK,1,,,,,,,,
Innovative Economy Operational Program 2007-2013,1,,,,,,,,
societe OPTO France,1,,,,,,,,
Opening Foundation of State Key Laboratory of Virtual Reality Technology and System of Beihang University,1,,,,,,,,
STFC Hartree Centre (UK),1,,,,,,,,
Zurich Interaction and Expression Lab team (ZIEL),1,,,,,,,,
Key Project of Basic Industrial Research of Shanxi,1,,,,,,,,
Key Scientific and Technological Research and Development Plan of Jilin Province of China,1,,,,,,,,
Poonam Goel Fellowship,1,,,,,,,,
German Center for Diabetes Research,1,,,,,,,,
EUFP7,1,,,,,,,,
Scientific and Technological Development Plan of Jilin Province,1,,,,,,,,
Mont-Blanc Project,1,,,,,,,,
Eunice Kennedy Shriver National Institute for Child and Human Development,1,,,,,,,,
Regional Government of Castilla-La Mancha (Spain),1,,,,,,,,
Key Scientific and Technological Innovation Project of Shandong Provincial,1,,,,,,,,
Grant-In-Aid for Scientific Research of Japan Society for the Promotion of Science,1,,,,,,,,
"Ministry of Science and Technology of Taiwan, R.O.C.",1,,,,,,,,
Ministeriode Economia yCompet-itividad of Cobierno de Espana,1,,,,,,,,
"Urban Administration for Economy, Work and Statistics, Vienna, Austria",1,,,,,,,,
CeSViMa,1,,,,,,,,
"Netherlands Organisation for Scientific Research, NWO",1,,,,,,,,
Science and Technology on Analog Integrated Circuit Laboratory Foundation,1,,,,,,,,
PO FESR 2007/2013,1,,,,,,,,
National Priorities: Systems-Based Strategies to Improve the Nation,1,,,,,,,,
Key Research Program of Shandong Province,1,,,,,,,,
Canada NSERC Discovery Grants,1,,,,,,,,
Shanghai Engineering Research Center for Intelligent Diagnosis and Treatment Instrument,1,,,,,,,,
Shanghai Automotive Wind Tunnel Technical Service Platform,1,,,,,,,,
Ministry of National Education CNCS-UEFISCDI,1,,,,,,,,
Chong-Qing Application Foundation and Research in Cutting Edge Technologies,1,,,,,,,,
Headspace National Office,1,,,,,,,,
FP7 project SOCIONICAL,1,,,,,,,,
Graduate Research Innovation Program of Jiangsu Province,1,,,,,,,,
Scientific & Technological Support Project of Jiangsu,1,,,,,,,,
Einstein Foundation,1,,,,,,,,
NSFJPC,1,,,,,,,,
Li et,1,,,,,,,,
Short Term Research Grant (STRG),1,,,,,,,,
Natural Foundation Pre-Research Project,1,,,,,,,,
"Academic Frontier Promotion Program of the Ministry of Education, Culture, Sports, Science and Technology in Japan",1,,,,,,,,
Programs for Innovation Research,1,,,,,,,,
EU Project WAY,1,,,,,,,,
INCITE,1,,,,,,,,
Danish Natural Science Research Council (J.C-D),1,,,,,,,,
Ministry of Higher Education of Cameroon,1,,,,,,,,
Science and Technology Planning Key Project of Guangdong,1,,,,,,,,
ANR grant OPTIMA,1,,,,,,,,
Young Scholars of the Shandong Academy of Science,1,,,,,,,,
Fundacaopara a Ciencia e a Tecnologia (FCT),1,,,,,,,,
"Obra Social ""la Caixa",1,,,,,,,,
Chinese Post-Doctoral Science Fund,1,,,,,,,,
Icebreaker Proof of Concept,1,,,,,,,,
"Post-Doctoral Research Foundation of Shaanxi Province, China",1,,,,,,,,
